,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
CITI_Steel_US_USD_t_lag21d,0.040938333,0.06705398,-0.002980564,0.0052641844,-0.025659101,-0.021400254,0.033061314,0.04790799,0.007879724,0.051531393,0.007997345,-0.008355948,-0.005710539,-0.0016418683,-0.022750923,0.06250805,0.018874712,0.02912521,-0.023558294,-0.06197621,-0.002196849,0.028516753,-0.024308024,-0.01150464,-0.0055551226,0.01643329,-0.04021993
CITI_AppConsump_Rebar_Mt_lag5d,0.06521321,-0.0528371,0.03117303,-0.0150485365,-0.007051715,-0.022492528,0.010965784,0.020264806,0.025053622,0.007098087,0.0015053344,0.00014138334,0.006624753,-0.006049871,-0.009808613,0.013944265,0.00951693,-0.0012778623,-0.010971331,-0.007844067,-0.0038232664,0.0006678767,0.0022494234,-0.0141859045,0.0020524827,0.012493083,-0.010626706
CITI_AppConsump_Rebar_Mt_lag21d,0.065213315,-0.05283728,0.03117302,-0.015049516,-0.007053177,-0.022493174,0.01096697,0.020262899,0.025054222,0.0070983605,0.0015049458,0.0001383526,0.0066222353,-0.0060453056,-0.009810172,0.013933338,0.009511579,-0.001285772,-0.010966868,-0.00784037,-0.0038174742,0.0006633252,0.0022397947,-0.014189392,0.0020615864,0.012496204,-0.010609283
CITI_AppConsump_Rebar_Mt_lag42d,0.06521331,-0.05283706,0.031173907,-0.0150496615,-0.0070527815,-0.022492621,0.010967919,0.020262223,0.025053281,0.0070995498,0.0015051134,0.00013909713,0.00662118,-0.006043943,-0.009812009,0.013930117,0.009511067,-0.0012835045,-0.010968694,-0.007840698,-0.0038094758,0.00066335825,0.0022440983,-0.01419101,0.0020604408,0.012498463,-0.010609653
CITI_AppConsump_Total_Mt_lag5d,0.06521322,-0.052837115,0.03117304,-0.01504853,-0.007051715,-0.022492532,0.010965786,0.020264804,0.025053617,0.0070980727,0.0015053472,0.00014138102,0.006624732,-0.0060498696,-0.009808603,0.013944266,0.009516912,-0.0012778649,-0.010971341,-0.007844076,-0.003823254,0.00066787243,0.002249404,-0.014185892,0.002052457,0.012493104,-0.0106266895
CITI_AppConsump_Total_Mt_lag21d,0.06521333,-0.052837282,0.031173006,-0.015049503,-0.007053167,-0.022493169,0.0109669855,0.020262878,0.025054226,0.007098352,0.0015049494,0.00013835651,0.0066222344,-0.006045306,-0.009810189,0.013933331,0.0095115965,-0.0012857746,-0.010966848,-0.007840369,-0.0038174642,0.00066333293,0.002239811,-0.014189411,0.0020615926,0.012496192,-0.01060928
CITI_AppConsump_Total_Mt_lag42d,0.0652133,-0.052837055,0.03117391,-0.0150496615,-0.007052775,-0.022492629,0.010967902,0.020262254,0.025053283,0.007099558,0.0015051091,0.00013908201,0.006621178,-0.00604396,-0.009812017,0.013930103,0.009511045,-0.0012835102,-0.0109686935,-0.007840684,-0.0038094686,0.0006633347,0.0022440953,-0.014191008,0.0020604476,0.012498459,-0.010609662
AUDUSD_SIN_lag1d,0.010554531,-0.07636009,-0.026509857,0.015816752,0.035840478,0.005285481,0.018153857,-0.006420557,0.008539716,0.040180434,-0.041442644,-0.037048575,-0.007054537,0.025385208,-0.00042248334,0.02111355,0.021815905,0.0122885825,-0.0029852956,-0.02226796,-0.039066005,0.0015194522,0.06059128,-0.019698745,-0.0050810594,0.042989556,-0.06267257
AUDUSD_SIN_lag5d,0.009359823,-0.07667869,-0.022857815,0.013599261,0.036486086,0.013143933,0.017533313,-0.0029003618,0.012054383,0.044010058,-0.04680707,-0.032297265,-0.0063472283,0.026686473,-0.011154136,0.019260885,0.018666241,0.0062092654,0.0016628635,-0.019078413,-0.029385807,0.0069811684,0.045370333,-0.02600126,0.0028605498,0.03511144,-0.04618828
AUDUSD_SIN_lag21d,0.0052340887,-0.07777379,-0.012259666,0.0037845084,0.0309056,0.025730278,0.01097033,0.008414816,0.019687174,0.023008894,-0.04901098,-0.027093641,-0.035260007,0.012600577,-0.041817535,0.0079879975,0.03444176,0.010134174,0.045750357,-0.019022077,-0.012659375,0.023011336,0.012269545,-0.0515818,0.0063161976,0.043286894,0.025147153
