,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
MSCI_EM_lag5d,0.006797667,0.05253293,0.06354955,0.0064075077,-0.082209334,-0.04463538,0.05944493,0.0043978607,-0.0044746133,-0.01395096,0.017002402,0.0489502,0.02417064,-0.025909854,0.008315859,-0.014242582,0.030539544,-0.005352649,-0.011239665,-0.00010857304,0.002571165,0.009551918,-0.026498547,0.025453657,-0.03992212,-0.006508395,0.018601527
MSCI_EM_lag21d,0.010459823,0.056794737,0.04988667,0.013396988,-0.06582006,-0.06138513,0.06948967,0.0043217083,-0.007870048,-0.009123712,0.009590964,0.037924085,0.03184582,-0.016689947,0.052659567,-0.010795775,0.03394103,-0.0029475833,-0.03987287,-0.0025442776,-0.0020287624,0.0017294108,0.013680024,0.04676668,-0.045069367,-0.02408435,-0.028923986
MSCI_Global_lag1d,0.062581144,-0.027850617,0.05508144,0.0019708872,-0.05328109,-0.021496944,0.06256937,0.017313927,0.015695622,-0.0006077643,0.0031135846,0.01571992,-0.0056197415,-0.0040216735,-0.0032098505,0.0015569609,0.014079925,0.010250877,-0.0019999992,-0.009674956,-0.00045018972,0.0021605229,0.005236367,-0.013304145,-0.0032613438,-0.009060742,0.013300851
MSCI_Global_lag5d,0.063119,-0.027564336,0.053324286,0.0019604948,-0.05208465,-0.02445497,0.06446843,0.015788747,0.0140765915,-0.0040560877,0.0052664354,0.014026009,-0.005599634,-0.0054758247,0.0025432322,0.0040804446,0.015091944,0.0098407455,-0.0017845365,-0.010311086,0.00015045301,0.0012187357,0.007447646,-0.016150312,-0.01077143,-0.0013161562,0.013342047
MSCI_Global_lag21d,0.064706,-0.026547004,0.046360098,0.0033863676,-0.042694546,-0.031449847,0.071193956,0.0141840475,0.014985657,-0.0091419555,-0.0012673981,0.010460155,0.008438697,-0.0006734448,0.029004464,0.011109012,0.01659476,0.0017064515,-0.025240585,-0.006258901,-0.00517111,-0.009229903,0.034361195,-0.009757733,-0.018419527,0.012184422,-0.009572103
Nikkei225_lag1d,0.061105426,-0.0418469,0.055901684,0.004830181,-0.03946604,-0.014168142,0.0251317,0.009006858,0.006462639,0.010118776,-0.0012447193,-0.014699203,0.0032980763,0.02992465,0.014305262,-0.007819855,-0.020515041,0.0069830013,-0.0027747443,0.016681453,-0.0072602415,0.0010035086,-0.025354845,0.018023245,-0.0317442,0.00759893,0.026753668
Nikkei225_lag5d,0.061510574,-0.04166222,0.054776426,0.005376062,-0.038322482,-0.017431527,0.026554858,0.008755548,0.004289478,0.005955181,-0.0009033773,-0.015958427,0.0014590144,0.029712074,0.017579822,-0.0062422734,-0.0220002,0.006366166,0.0005198433,0.01427168,-0.00735152,0.0001076616,-0.025315177,0.01695084,-0.04178728,0.01382002,0.025068695
Nikkei225_lag21d,0.062358245,-0.041048896,0.049639102,0.007146481,-0.034962513,-0.025815725,0.03142759,0.008688793,0.0048663146,-0.000890823,-0.011122508,-0.020608986,0.0027955712,0.028910087,0.035795607,-0.0058099604,-0.024572026,-0.0023453303,-0.016833486,0.008339063,-0.010200444,-0.010217438,0.004062323,0.018753467,-0.050295666,0.013674803,0.0046619326
EuroStoxx50_lag1d,0.05986168,-0.038793296,0.051773146,0.009107488,-0.044624053,-0.00891707,0.055353567,-0.007818127,-0.009509585,0.0067578834,-0.029905183,-0.0145683475,-0.024556402,-0.024546115,-0.03145819,0.010197684,-0.007567996,0.017060343,0.0024433848,0.032962084,0.014055841,0.006053039,-0.0026335164,-0.03315781,-0.0030733142,0.013069277,-0.0059107584
EuroStoxx50_lag5d,0.060134225,-0.03866432,0.050039444,0.010231982,-0.043938197,-0.012586206,0.057429943,-0.009164122,-0.009900842,0.00172805,-0.02799681,-0.01440899,-0.02580628,-0.025492253,-0.024329685,0.0139518725,-0.0055263196,0.016167495,0.0010663129,0.032175623,0.0151661765,0.0027052364,-0.002166897,-0.03864477,-0.013093417,0.021530084,-0.0070328107
EuroStoxx50_lag21d,0.06028647,-0.038580067,0.041817833,0.014871342,-0.038059954,-0.024181321,0.06364107,-0.009097533,-0.0014345081,-0.0063556293,-0.03427964,-0.011920411,-0.019092327,-0.015283457,0.013429328,0.028607449,0.0048407326,0.0028843733,-0.03226882,0.033367984,0.00751115,-0.014210484,0.034345195,-0.03537727,-0.028180828,0.027305206,-0.03144674
Platts_HFO380_SIN_ext_USD_t_roll21d,0.076703325,0.008633825,-0.01475625,-0.0061970633,0.014988311,0.012522681,-0.00028190247,-0.064357586,-0.0161103,-0.045573063,0.003560952,0.0058981352,0.005491409,0.026975555,0.054702185,0.057184827,0.024171717,0.022777222,0.014007667,0.0011607034,-0.024183063,0.010468473,-0.011382559,-0.016382229,0.017602887,-0.015456172,0.019406987
